person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
22.0,59000,RENT,123.0,PERSONAL,D,35000.0,,1.0,,Y,3.0
528.1938274525821,9600,OWN,5.0,EDUCATION,B,1000.0,11.14,0.0,0.1,N,
,9600,MORTGAGE,1.0,MEDICAL,C,5500.0,12.87,1.0,,N,3.0
23.0,65500,RENT,,MEDICAL,C,35000.0,15.23,1.0,0.53,N,2.0
,54400,RENT,8.0,MEDICAL,C,35000.0,14.27,1.0,0.55,Y,4.0
21.0,9900,OWN,2.0,VENTURE,A,2500.0,,1.0,0.25,N,2.0
26.0,77100,RENT,8.0,EDUCATION,B,35000.0,,1.0,0.45,N,3.0
24.0,78956,,5.0,MEDICAL,B,35000.0,11.11,30.65193366464861,0.44,N,
24.0,83000,,8.0,PERSONAL,A,35000.0,8.9,1.0,0.42,N,2.0
21.0,10000,,6.0,VENTURE,,1600.0,14.74,1.0,0.16,N,3.0
22.0,85000,RENT,6.0,VNTURE,B,35000.0,10.37,1.0,9.452991506026521,N,4.0
,10000,,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1.0,0.45,N,2.0
23.0,95000,RENT,2.0,VENTURE,A,35000.0,7.9,1.0,0.37,N,2.0
26.0,108160,RENT,4.0,EDUCATION,E,35000.0,,1.0,0.32,N,4.0
23.0,115000,RENT,2.0,EDUCATION,A,35000.0,7.9,0.0,0.3,N,4.0
,500000,,7.0,DEBTCONSOLIDATION,,30000.0,10.65,0.0,0.06,N,3.0
23.0,120000,RENT,0.0,EDUCATION,,35000.0,7.9,0.0,0.29,N,4.0
23.0,92111,RENT,7.0,MEDICAL,F,35000.0,20.25,1.0,0.32,N,4.0
23.0,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000.0,18.25,1.0,0.31,N,4.0
24.0,10800,MORTGAGE,,EDCUATION,B,1750.0,10.99,1.0,,N,
25.0,162500,RENT,2.0,VENTURE,A,,7.49,0.0,,N,4.0
25.0,137000,RENT,9.0,PERSONAL,E,34800.0,16.77,0.0,0.25,,2.0
22.0,65000,RENT,4.0,EDUCATION,,34000.0,17.58,1.0,0.52,N,
24.0,10980,OWN,0.0,PERSONAL,A,1500.0,7.29,0.0,0.14,N,3.0
22.0,80000,RENT,3.0,PERSONAL,D,33950.0,14.54,1.0,,Y,4.0
24.0,67746,RENT,,HOMEIMPROVEMENT,C,,12.68,30.65193366464861,0.49,N,3.0
21.0,11000,MORTGAGE,3.0,VENTURE,E,4575.0,17.74,1.0,0.42,Y,3.0
23.0,11000,OWN,0.0,PERSONAL,A,1400.0,9.32,0.0,0.13,N,3.0
24.0,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500.0,9.99,1.0,0.5,N,3.0
21.0,11389,OTHER,5.0,EDUCATION,C,4000.0,12.84,1.0,0.35,,2.0
21.0,11520,OWN,5.0,MEDICAL,B,2000.0,11.12,1.0,0.17,N,3.0
25.0,120000,,227.32559472570594,,A,32000.0,6.62,,0.27,N,2.0
26.0,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050.0,14.17,1.0,0.33,Y,3.0
25.0,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250.0,13.85,0.0,,N,3.0
26.0,300000,MORTAGE,10.0,MEDICAL,C,7800.0,13.49,0.0,0.03,N,4.0
21.0,12000,OWN,5.0,EDUCATION,A,2500.0,7.51,1.0,0.21,N,4.0
22.0,48000,RENT,1.0,EDUCATION,E,30000.0,18.39,1.0,0.63,N,2.0
24.0,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000.0,14.54,,0.47,Y,3.0
25.0,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000.0,16.89,,0.4,,4.0
23.0,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000.0,,1.0,0.42,N,4.0
26.0,62050,RENT,,MEDICAL,E,30000.0,17.99,1.0,0.41,N,2.0
24.0,12000,OWN,4.0,VENTURE,B,2500.0,12.69,1.0,0.21,N,3.0
26.0,300000,,,,A,20000.0,7.88,0.0,0.07,N,4.0
23.0,300000,OWN,217.32559472570594,EDUCATION,F,,19.41,,0.08,Y,
26.0,300000,OWN,,HOMEIMPROVEMENT,,,10.38,0.0,0.03,N,4.0
26.0,300000,,0.0,EDUCATION,D,25000.0,15.33,0.0,0.08,N,3.0
25.0,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000.0,,0.0,0.06,N,3.0
26.0,80690,RENT,8.0,PERSONAL,A,,7.49,1.0,0.37,N,3.0
22.0,66300,RENT,4.0,MEDICAL,B,30000.0,12.69,1.0,,N,3.0
26.0,89028,RENT,0.0,,A,30000.0,6.62,1.0,0.34,N,3.0
24.0,78000,,4.0,DEBTCONSOLIDATION,D,30000.0,,1.0,0.38,Y,241.97373313795518
23.0,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000.0,18.62,1.0,0.38,Y,3.0
23.0,92004,RENT,6.0,PERSONAL,C,30000.0,15.23,1.0,0.33,Y,3.0
23.0,97000,RENT,7.0,VENTURE,B,30000.0,10.65,1.0,0.31,N,2.0
25.0,120000,RENT,9.0,EDUCATION,A,30000.0,7.9,0.0,0.25,N,4.0
26.0,280000,RENT,4.0,PERSONAL,C,415651.2915151717,321.52461339002105,0.0,0.04,Y,3.0
26.0,277104,RENT,0.0,VENTURE,B,20000.0,11.48,0.0,,N,3.0
,277000,OWN,3.0,PERSONAL,A,35000.0,,0.0,0.13,N,4.0
25.0,128000,RENT,9.0,PERSONAL,A,30000.0,7.29,0.0,0.23,N,4.0
24.0,12000,OWN,2.0,VENTURE,E,1750.0,,0.0,,Y,3.0
21.0,131000,RENT,0.0,VENTURE,A,30000.0,5.99,0.0,,N,4.0
22.0,275000,OWN,6.0,VENTURE,B,12000.0,11.58,0.0,0.04,N,
26.0,263000,,0.0,EDUCATION,B,10000.0,,1.0,0.04,N,4.0
25.0,221850,MORTGAGE,9.0,MEDICAL,D,,15.7,1.0,,N,2.0
22.0,70000,RENT,6.0,EDUCATION,D,29100.0,15.99,,0.42,,3.0
22.0,12000,MORTGAGE,7.0,EDUCATION,,1500.0,14.84,0.0,0.13,Y,3.0
26.0,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000.0,10.99,0.0,0.11,N,231.97373313795518
25.0,259000,MORTGAGE,,HOMEIMPROVEMENT,D,20000.0,,0.0,0.08,Y,2.0
24.0,255000,OMRTGAGE,9.0,EDUCATION,A,9600.0,6.99,0.0,0.04,N,2.0
25.0,250000,RENT,2.0,MEDICAL,C,25000.0,13.49,0.0,0.1,N,4.0
25.0,12000,OWN,0.0,MEDICAL,C,3000.0,,1.0,0.25,N,3.0
22.0,56950,RENT,6.0,,A,28000.0,,1.0,0.49,N,2.0
21.0,12000,OWN,6.0,EDUCATION,,3000.0,13.61,1.0,0.25,Y,3.0
,65000,RENT,2.0,EDUCATION,A,28000.0,7.9,1.0,0.43,N,2.0
26.0,85000,RENT,2.0,VENTURE,A,28000.0,7.49,1.0,0.33,N,3.0
26.0,12000,OWN,2.0,,A,6100.0,7.51,30.65193366464861,0.51,N,3.0
22.0,88000,RNET,267.32559472570597,VENTURE,B,28000.0,,1.0,0.32,N,
528.1938274525821,12000,OWN,0.0,PERSONAL,C,4200.0,13.48,1.0,0.35,Y,4.0
22.0,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.14,1.0,0.4,N,2.0
24.0,83004,RENT,,VENTURE,D,28000.0,15.99,1.0,0.34,Y,4.0
24.0,250000,RENT,2.0,EDUCATION,C,18000.0,12.98,0.0,0.07,Y,
144.0,250000,RENT,4.0,VENTURE,C,4800.0,13.57,,0.02,N,3.0
25.0,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000.0,12.69,0.0,0.28,N,3.0
26.0,110000,RENT,10.0,EDUCATION,A,28000.0,8.9,0.0,0.25,N,2.0
26.0,12000,OWN,0.0,,A,2700.0,,1.0,0.23,N,4.0
22.0,108000,RENT,6.0,EDUCATION,B,28000.0,,1.0,0.26,N,4.0
23.0,151200,RENT,277.32559472570597,DEBTCONSOLIDATION,B,28000.0,11.11,0.0,0.19,N,2.0
24.0,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600.0,,1.0,0.4,N,2.0
21.0,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250.0,15.68,1.0,0.27,Y,3.0
22.0,70000,RENT,4.0,,,27500.0,,1.0,0.39,Y,3.0
22.0,240000,OWN,6.0,,,25000.0,,0.0,0.1,N,2.0
26.0,73200,,5.0,VENTURE,,27050.0,15.62,,0.37,Y,2.0
24.0,83000,RENT,5.0,PERSONAL,C,27000.0,13.49,1.0,0.33,Y,2.0
24.0,73399,,0.0,VENTURE,D,585651.2915151718,,1.0,0.37,,3.0
23.0,62500,RENT,7.0,MEDICAL,B,26000.0,11.71,1.0,0.42,N,2.0
23.0,120000,RENT,1.0,EDUCATION,B,25600.0,12.69,0.0,0.21,,3.0
24.0,12360,,2.0,MEDICAL,C,1600.0,13.57,0.0,0.13,N,
,60000,RENT,0.0,,B,25475.0,10.99,1.0,0.42,N,3.0
25.0,234000,MORTGAGE,3.0,MEDICAL,C,20000.0,14.27,0.0,0.09,Y,241.97373313795518
24.0,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000.0,8.88,,0.09,N,4.0
26.0,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600.0,12.18,0.0,,N,3.0
25.0,221004,,6.0,DEBTCONSOLIDATION,D,11900.0,14.42,,0.05,Y,3.0
26.0,232500,MORTGAGE,0.0,,C,,14.17,0.0,0.11,Y,2.0
25.0,230000,,5.0,MEDICAL,C,35000.0,13.99,0.0,6.852991506026522,N,4.0
23.0,83000,RENT,7.0,EDUCATION,B,25300.0,10.99,1.0,0.3,N,3.0
22.0,12600,MORTGAGE,,PERSONAL,A,2000.0,5.42,1.0,0.16,N,4.0
25.0,12600,OWN,3.0,PERSONAL,C,1750.0,13.61,,0.14,N,3.0
21.0,42500,RENT,3.0,EDUCATION,C,25000.0,12.73,1.0,0.59,Y,3.0
24.0,41000,,2.0,HOMEIMPROVEMENT,,25000.0,,1.0,0.61,N,
25.0,12816,,0.0,DEBTCONSOLIDATION,C,3000.0,12.87,1.0,0.23,Y,4.0
24.0,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650.0,9.91,1.0,,N,3.0
,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000.0,11.49,0.0,0.09,N,4.0
25.0,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000.0,19.91,0.0,0.13,Y,2.0
26.0,213000,MORTGAGE,6.0,EDUCATION,B,35000.0,10.65,30.65193366464861,6.952991506026523,N,2.0
