customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
7590-VHVEG,Female,0.0,Yes,No,1.0,No,No phone service,DSL,No,,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,0
5575-GNVDE,Male,0.0,No,No,34.0,Yes,No,,Yes,No,Yes,,No,No,One year,No,Mailed check,,1889.5,0
3668-QPYBK,Male,0.0,,No,2.0,Yes,No,DSL,Yes,eYs,No,No,No,,,Yes,Mailed check,53.85,108.1,1
7795-CFOCW,Male,0.0,No,oN,45.0,No,No phone service,DSL,Yes,No,Yes,Yes,oN,No,One year,No,Bank transfer (automatic),42.3,1840.75,0
9237-HQITU,Female,0.0,No,No,2.0,Yes,No,Fiber optic,,,,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,1
9305-CDSKC,,0.0,No,No,8.0,Yes,Yes,Fiber optic,No,No,Yes,,Yes,Yes,Month-to-month,Yes,,99.65,820.5,1
1452-KIOVK,Male,0.0,No,es,22.0,Yes,Yes,,No,Yes,No,No,Yes,,Month-to-month,Yes,,89.1,1949.4,0
6713-OKOMC,Female,0.0,No,No,10.0,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailedcheck,29.75,301.9,0
7892-POOKP,Female,0.0,Yes,No,28.0,Yes,Ye,Fiber optic,No,No,Yes,Yes,,Yes,Month-to-month,Yes,Electronic check,104.8,,1
6388-TABGU,Male,0.0,No,Yes,62.0,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,,0
9763-GRSKD,Male,0.0,Yes,Yes,13.0,Yes,,DSL,Yes,No,No,No,,No,Month-to-month,,Mailed check,49.95,587.45,0
7469-LKBCI,Male,0.0,No,No,,Yes,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,0
8091-TTVAX,Male,0.0,Yes,No,,Yes,Yes,Fiber optic,No,No,Yes,,Yes,,One year,No,,100.35,5681.1,0
0280-XJGEX,Male,0.0,No,No,49.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,,103.7,5036.3,1
5129-JLPIS,Male,0.0,No,No,25.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,0
3655-SNQYZ,Female,0.0,Yes,Yes,69.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0
8191-XWSZG,Female,0.0,No,,52.0,Yes,No,No,No internet service,NO INTERNET SERVICE,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0
9959-WOFKT,Male,0.0,No,Yes,71.0,Yes,Ys,Fiber optic,,No,Yes,No,eYs,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0
4190-MFLUW,Female,0.0,Yes,Yes,10.0,Yes,,DSL,No,No,Yes,Ye,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,1
4183-MYFRB,Female,0.0,No,No,21.0,Yes,,Fiber optic,No,Yes,Yes,No,No,Yes,,Yes,Electronic check,90.05,1862.9,0
8779-QRDMV,Male,1.0,No,No,1.0,No,No phone service,DSL,No,No,Yes,oN,,,Month-to-month,Yes,Eletcronic check,39.65,39.65,1
1680-VDCWW,Male,,Yes,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0
1066-JKSGK,Male,0.0,,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,,20.15,1
3638-WEABW,Female,0.0,Yes,No,58.0,Yes,Yes,DSL,,Yes,No,Yes,No,No,Two year,Yes,CREDIT CARD (AUTOMATIC),59.9,,0
6322-HRPFA,Male,0.0,Yes,Yes,49.0,Yes,No,DSL,,Yes,No,Yes,No,No,Month-to-month,,Credit card (automatic),59.6,2970.3,0
6865-JZNKO,Female,0.0,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0
6467-CHFZW,Male,0.0,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1
8665-UTDHZ,Male,0.0,Yes,eYs,1.0,No,No phone service,DSL,No,Yes,oN,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1
5248-YGIJN,,0.0,Yes,,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0
8773-HHUOZ,Female,,No,Yes,17.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1
3841-NFECX,Female,1.0,Yes,No,1938.5376145222538,Yes,Yes,Fiber optic,Yes,Yes,,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0
4929-XIHVW,Male,1.0,Yes,No,2.0,Yes,No,Fiber optic,No,No,Yes,NO,Yes,Yes,,Yes,Credit card (automatic),95.5,181.65,0
6827-IEAUQ,Female,0.0,Yes,Yes,27.0,Yes,No,DSL,Yes,,Yes,Yes,No,No,One year,No,Mailed check,,1874.45,0
7310-EGVHZ,Male,0.0,NO,No,1.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0
3413-BMNZE,Male,1.0,No,No,1.0,Yes,No,DSL,,No,No,No,No,No,,No,Bank transfer (automatic),45.25,45.25,0
6234-RAAPL,Female,0.0,Yes,Yes,72.0,Yes,,Fiber optic,Yse,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),,,0
6047-YHPVI,Male,0.0,No,No,5.0,Yes,,Fiber optic,No,No,,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1
6572-ADKRS,Female,0.0,No,No,46.0,Yes,No,,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0
5380-WJKOV,Male,0.0,,No,34.0,Yes,,,No,Yes,Yes,No,Yes,Yes,Month-to-month,,Electronic chek,106.35,3549.25,1
8168-UQWWF,Female,0.0,No,No,11.0,Yes,Ye,Fiber optic,No,,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1
8865-TNMNX,Male,0.0,Yes,,10.0,Yes,No,DSL,No,,No,,No,No,One year,No,Mailed check,49.55,475.7,0
9489-DEDVP,Female,0.0,Yes,Yes,70.0,Yes,Yes,DSL,,,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0
9867-JCZSP,Female,0.0,Yes,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,NO,Mailed check,20.75,418.25,0
4671-VJLCL,Female,0.0,No,No,63.0,Yes,,DSL,Yes,Yes,,Yes,Yse,No,,,Credit card (automatic),79.85,4861.45,0
4080-IIARD,Female,0.0,Yes,oN,13.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Ye,Electronic check,76.2,981.45,0
3714-NTNFO,Female,0.0,No,No,49.0,Yes,Yes,,No,No,No,,No,Yes,Month-to-month,Yes,Electronic check,84.5,,0
5948-UJZLF,Male,0.0,No,,2.0,Yes,No,DSL,,Yes,No,No,No,No,Month-to-month,,Mailed check,49.25,97,0
7760-OYPDY,Female,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,,Month-to-month,Yes,Electronic check,80.65,144.15,1
7639-LIAYI,,0.0,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,,79.75,4217.8,0
2954-PIBKO,Female,,Yes,Yes,69.0,Yes,,DSL,YES,No,,Yes,No,No,Two year,,Credit card (automatic),,,0
8012-SOUDQ,Female,1.0,No,,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0
9420-LOJKX,Female,0.0,No,No,15.0,Yes,,,Yes,Yes,,,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,,1
6575-SUVOI,Feamle,1.0,Yes,No,1478.5376145222538,Yes,Yes,,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0
7495-OOKFY,Femlae,1.0,,No,,Yes,Yes,Fiber optic,,Yes,,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1
4667-QONEA,Feale,1.0,Yes,Yes,60.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One yea,Yes,Credit card (automatic),74.85,4456.35,0
1658-BYGOY,Mae,1.0,No,NO,18.0,Yes,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1
8769-KKTPH,Female,0.0,YES,Yes,63.0,Yes,,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0
5067-XJQFU,,1.0,Yes,Yes,66.0,Yes,,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0
